Username,link,Type,Status,Script ,Account,Notes,,,reply rate ,%
mano.njt_,https://www.instagram.com/mano.njt_?igsh=MTE5aGh2NWZ5YmE5ag==,small creator ,Sent,Script 2,alexxisalmc,,,,,
yaelle_emrd,https://www.instagram.com/yaelle_emrd?igsh=Y2dwZzl0eG4xYXBp,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
tylia.prln,https://www.instagram.com/tylia.prln?igsh=MW9lZ2FxdTIwNHNoYw==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
flavie_thms,https://www.instagram.com/flavie_thms?igsh=MXVoZW9pOXgxN3BmaA==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
less.mag,https://www.instagram.com/less.mag?igsh=ZGpiMGJjbmZhZTVy,small creator ,Call booked ,Script 2,alexxisalmc,,,,,
cloe.fls,https://www.instagram.com/cloe.fls?igsh=bjQ4ZnFpaTg4NzU0,small creator ,Sent,Script 2,alexxisalmc,,,,,
floflo_grdl,https://www.instagram.com/floflo_grdl?igsh=MWd1N3Fvc2xiM2Zrag==,small creator ,Sent,Script 2,alexxisalmc,,,,,
_thais.grc_,https://www.instagram.com/_thais.grc_?igsh=bWRybmcyY21jb2xy,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
louane_cst_,https://www.instagram.com/louane_cst_?igsh=bjQ4ZG0wcTRienNj,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
maheva.lms,https://www.instagram.com/maheva.lms?igsh=MTh1ajJuZmNibDZ6bg==,small creator ,Sent,Script 2,alexxisalmc,,,,,
justine._lrd._,https://www.instagram.com/justine._lrd._?igsh=Y25saHBnOGZpcDZm,small creator ,Sent,Script 2,alexxisalmc,,,,,
juwski_,https://www.instagram.com/juwski_/,small creator ,Sent,Script 2,alexxisalmc,,,,,
loann.lem_,https://www.instagram.com/loann.lem_?igsh=MWhtN3NqZ2Qza3VoMg==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
